Number of Processes = 50
Process ID:                   CPU Cycles:                   Size of Memory Footprint:     
1                             7945                          -22                           
2                             7630                          15                            
3                             9862                          15                            
4                             1686                          -20                           
5                             10046                         88                            
6                             5696                          23                            
7                             5965                          74                            
8                             7506                          -6                            
9                             10303                         9                             
10                            3166                          -15                           
11                            8274                          63                            
12                            10091                         65                            
13                            3679                          87                            
14                            7451                          -59                           
15                            7656                          -27                           
16                            3997                          50                            
17                            2341                          -45                           
18                            4276                          -45                           
19                            10614                         -32                           
20                            4711                          71                            
21                            5146                          -26                           
22                            1209                          85                            
23                            5376                          90                            
24                            5270                          6                             
25                            6168                          -25                           
26                            1620                          47                            
27                            5750                          11                            
28                            5397                          52                            
29                            3766                          68                            
30                            7795                          -21                           
31                            5148                          50                            
32                            6051                          32                            
33                            6473                          -48                           
34                            9138                          15                            
35                            5882                          11                            
36                            2823                          -20                           
37                            6840                          92                            
38                            9484                          -16                           
39                            7335                          -12                           
40                            2232                          -45                           
41                            5612                          71                            
42                            10248                         -27                           
43                            7411                          -10                           
44                            5990                          -66                           
45                            3443                          -9                            
46                            6316                          75                            
47                            5802                          37                            
48                            4245                          46                            
49                            8161                          32                            
50                            4017                          15                            
